K,n_experiment,delta,instance_type,env,agent,success_rate,reward_array,mean_stop_times,std_stop_times,forced-stop,count_exceed_stop,count_success
50,1000,0.0001,Linear,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.35       0.35612245 0.3622449  0.36836735 0.3744898  0.38061224
 0.38673469 0.39285714 0.39897959 0.40510204 0.41122449 0.41734694
 0.42346939 0.42959184 0.43571429 0.44183673 0.44795918 0.45408163
 0.46020408 0.46632653 0.47244898 0.47857143 0.48469388 0.49081633
 0.49693878 0.50306122 0.50918367 0.51530612 0.52142857 0.52755102
 0.53367347 0.53979592 0.54591837 0.55204082 0.55816327 0.56428571
 0.57040816 0.57653061 0.58265306 0.58877551 0.59489796 0.60102041
 0.60714286 0.61326531 0.61938776 0.6255102  0.63163265 0.6377551
 0.64387755 0.65      ]",8798.242,91.1506927973452,100000000.0,0.0,1000.0
50,1000,0.0001,Unique_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",10464.947,233.25899789759663,100000000.0,0.0,1000.0
50,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7194.361,67.19730054607106,100000000.0,0.0,1000.0
50,1000,0.0001,AllWorse,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",49550.281,127.38641831859078,100000000.0,0.0,1000.0
50,1000,0.0001,AllGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",8922.235,97.39074882028066,100000000.0,0.0,1000.0
50,1000,0.0001,HalfGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",7916.715,79.82860075045159,100000000.0,0.0,1000.0
40,1000,0.0001,Linear,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.35       0.35769231 0.36538462 0.37307692 0.38076923 0.38846154
 0.39615385 0.40384615 0.41153846 0.41923077 0.42692308 0.43461538
 0.44230769 0.45       0.45769231 0.46538462 0.47307692 0.48076923
 0.48846154 0.49615385 0.50384615 0.51153846 0.51923077 0.52692308
 0.53461538 0.54230769 0.55       0.55769231 0.56538462 0.57307692
 0.58076923 0.58846154 0.59615385 0.60384615 0.61153846 0.61923077
 0.62692308 0.63461538 0.64230769 0.65      ]",7309.297,81.02469533908165,100000000.0,0.0,1000.0
40,1000,0.0001,Unique_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",8576.257,181.1261347595951,100000000.0,0.0,1000.0
40,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",5858.695,56.35599018715757,100000000.0,0.0,1000.0
40,1000,0.0001,AllWorse,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",38861.756,107.35144006702473,100000000.0,0.0,1000.0
40,1000,0.0001,AllGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65]",7209.216,79.41373102520748,100000000.0,0.0,1000.0
40,1000,0.0001,HalfGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",6394.619,69.33873712319111,100000000.0,0.0,1000.0
30,1000,0.0001,Linear,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.35       0.36034483 0.37068966 0.38103448 0.39137931 0.40172414
 0.41206897 0.42241379 0.43275862 0.44310345 0.45344828 0.4637931
 0.47413793 0.48448276 0.49482759 0.50517241 0.51551724 0.52586207
 0.5362069  0.54655172 0.55689655 0.56724138 0.57758621 0.58793103
 0.59827586 0.60862069 0.61896552 0.62931034 0.63965517 0.65      ]",5939.366,67.14821397508649,100000000.0,0.0,1000.0
30,1000,0.0001,Unique_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.65]",6582.953,128.83765728540317,100000000.0,0.0,1000.0
30,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",4715.576,43.948709767455064,100000000.0,0.0,1000.0
30,1000,0.0001,AllWorse,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25]",28361.164,81.62275261900936,100000000.0,0.0,1000.0
30,1000,0.0001,AllGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65]",5634.357,64.0515747000103,100000000.0,0.0,1000.0
30,1000,0.0001,HalfGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",5082.461,55.06979668093029,100000000.0,0.0,1000.0
20,1000,0.0001,Linear,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.35       0.36578947 0.38157895 0.39736842 0.41315789 0.42894737
 0.44473684 0.46052632 0.47631579 0.49210526 0.50789474 0.52368421
 0.53947368 0.55526316 0.57105263 0.58684211 0.60263158 0.61842105
 0.63421053 0.65      ]",4682.863,56.784307006698604,100000000.0,0.0,1000.0
20,1000,0.0001,Unique_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.65]",5029.352,111.40294713379895,100000000.0,0.0,1000.0
20,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5 ]",3529.29,34.914110441195554,100000000.0,0.0,1000.0
20,1000,0.0001,AllWorse,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25]",18167.25,62.416850012636814,100000000.0,0.0,1000.0
20,1000,0.0001,AllGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65]",4180.855,48.43986985918728,100000000.0,0.0,1000.0
20,1000,0.0001,HalfGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5 ]",3711.094,41.01098117777725,100000000.0,0.0,1000.0
200,1000,0.0001,Linear,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.35       0.35150754 0.35301508 0.35452261 0.35603015 0.35753769
 0.35904523 0.36055276 0.3620603  0.36356784 0.36507538 0.36658291
 0.36809045 0.36959799 0.37110553 0.37261307 0.3741206  0.37562814
 0.37713568 0.37864322 0.38015075 0.38165829 0.38316583 0.38467337
 0.3861809  0.38768844 0.38919598 0.39070352 0.39221106 0.39371859
 0.39522613 0.39673367 0.39824121 0.39974874 0.40125628 0.40276382
 0.40427136 0.40577889 0.40728643 0.40879397 0.41030151 0.41180905
 0.41331658 0.41482412 0.41633166 0.4178392  0.41934673 0.42085427
 0.42236181 0.42386935 0.42537688 0.42688442 0.42839196 0.4298995
 0.43140704 0.43291457 0.43442211 0.43592965 0.43743719 0.43894472
 0.44045226 0.4419598  0.44346734 0.44497487 0.44648241 0.44798995
 0.44949749 0.45100503 0.45251256 0.4540201  0.45552764 0.45703518
 0.45854271 0.46005025 0.46155779 0.46306533 0.46457286 0.4660804
 0.46758794 0.46909548 0.47060302 0.47211055 0.47361809 0.47512563
 0.47663317 0.4781407  0.47964824 0.48115578 0.48266332 0.48417085
 0.48567839 0.48718593 0.48869347 0.49020101 0.49170854 0.49321608
 0.49472362 0.49623116 0.49773869 0.49924623 0.50075377 0.50226131
 0.50376884 0.50527638 0.50678392 0.50829146 0.50979899 0.51130653
 0.51281407 0.51432161 0.51582915 0.51733668 0.51884422 0.52035176
 0.5218593  0.52336683 0.52487437 0.52638191 0.52788945 0.52939698
 0.53090452 0.53241206 0.5339196  0.53542714 0.53693467 0.53844221
 0.53994975 0.54145729 0.54296482 0.54447236 0.5459799  0.54748744
 0.54899497 0.55050251 0.55201005 0.55351759 0.55502513 0.55653266
 0.5580402  0.55954774 0.56105528 0.56256281 0.56407035 0.56557789
 0.56708543 0.56859296 0.5701005  0.57160804 0.57311558 0.57462312
 0.57613065 0.57763819 0.57914573 0.58065327 0.5821608  0.58366834
 0.58517588 0.58668342 0.58819095 0.58969849 0.59120603 0.59271357
 0.59422111 0.59572864 0.59723618 0.59874372 0.60025126 0.60175879
 0.60326633 0.60477387 0.60628141 0.60778894 0.60929648 0.61080402
 0.61231156 0.6138191  0.61532663 0.61683417 0.61834171 0.61984925
 0.62135678 0.62286432 0.62437186 0.6258794  0.62738693 0.62889447
 0.63040201 0.63190955 0.63341709 0.63492462 0.63643216 0.6379397
 0.63944724 0.64095477 0.64246231 0.64396985 0.64547739 0.64698492
 0.64849246 0.65      ]",32814.384,282.5224208882262,100000000.0,0.0,1000.0
200,1000,0.0001,Unique_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.65]",39077.504,640.0111564558731,100000000.0,0.0,1000.0
200,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",28098.106,247.6483975655082,100000000.0,0.0,1000.0
200,1000,0.0001,AllWorse,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25]",215527.608,357.06124825068315,100000000.0,0.0,1000.0
200,1000,0.0001,AllGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65]",33607.098,314.10274687177764,100000000.0,0.0,1000.0
200,1000,0.0001,HalfGood,Environment_Gaussian,Adapted_TaS_new,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",31073.085,278.8997827460161,100000000.0,0.0,1000.0
